"school_number","school_type","city","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate"
"913472","public","gloucester","60","74","21","1","28","10"
"916854","public","ottawa","39","74","31","1","23","13"
"918954","public","nepean","31","88","22","1","8","2"
"922960","public","ottawa","32","96","14","28","22","2"
"900494","public","nepean","39","89","17","0","11","2"
"925691","public","nepean","28","88","20","5","11","5"
"928291","public","ottawa","14","90","26","3","12","2"
"932710","public","metcalfe","0","82","30","0","5","0"
"938564","public","ottawa","65","55","17","1","34","17"
"942952","public","nepean","10","28","95","0","20","5"
"942014","public","nepean","24","89","29","1","13","5"
"942332","public","orleans","29","83","23","1","7","2"
"942855","public","richmond","6","83","24","0","6","0"
"951366","public","dunrobin","21","85","26","1","6","2"
"954420","public","ottawa","48","76","27","0","26","14"
"892203","public","mississauga","56","91","15","0","19","6"
"895920","public","brampton","47","69","13","0","20","11"
"896055","public","brampton","51","83","15","0","14","6"
"918407","public","brampton","68","86","10","0","12","14"
"899003","public","mississauga","30","87","22","0","15","4"
"899828","public","brampton","55","80","17","0","16","9"
"901342","public","brampton","65","86","11","0","12","8"
"901660","public","mississauga","42","86","16","0","16","4"
"909673","public","brampton","53","76","13","0","13","7"
"909092","public","mississauga","56","90","20","0","21","5"
"910058","public","brampton","56","81","15","0","11","8"
"913189","public","mississauga","73","88","12","0","27","9"
"943916","public","brampton","73","87","10","0","12","8"
"916269","public","brampton","39","72","17","4","10","7"
"917559","public","bolton","24","85","26","3","6","6"
"935244","public","brampton","62","83","18","0","13","4"
"918830","public","mississauga","72","93","11","0","19","1"
"930679","public","brampton","20","4","95","0","15","5"
"952885","public","mississauga","60","72","25","0","22","19"
"924008","public","mississauga","28","90","15","6","12","3"
"904203","public","brampton","71","77","16","0","10","9"
"925349","public","caledon","26","86","14","0","8","5"
"925551","public","mississauga","53","79","20","0","12","4"
"925535","public","mississauga","75","82","18","0","14","9"
"930660","public","brampton","62","89","14","0","13","9"
