"school_type","board_name","osslt_passes","esl_students","se_students","gifted_students","low_income_household","no_degree_parents"
"public","hamilton-wentworth dsb","64","13","23","2","18","7"
"public","hamilton-wentworth dsb","60","23","32","0","19","8"
"public","hamilton-wentworth dsb","49","12","34","1","30","17"
"public","hamilton-wentworth dsb","81","9","21","1","8","2"
"public","hamilton-wentworth dsb","84","33","18","7","20","9"
"public","hamilton-wentworth dsb","88","34","10","10","15","7"
"public","hastings & prince edward dsb","81","8","20","0","11","5"
"public","hastings & prince edward dsb","58","7","29","0","16","8"
"public","hastings & prince edward dsb","69","0","30","0","25","10"
"public","hastings & prince edward dsb","60","7","34","0","16","8"
"public","hastings & prince edward dsb","80","0","30","0","20","15"
"public","hastings & prince edward dsb","63","1","28","0","17","2"
"public","hastings & prince edward dsb","58","2","40","0","19","11"
"catholic","huron perth cdsb","67","3","24","1","9","7"
"catholic","huron perth cdsb","79","3","20","1","8","4"
"catholic","huron-superior cdsb","80","3","20","0","15","6"
"public","james bay lowlands ssb","69","0","30","0","10","15"
"public","kawartha pine ridge dsb","84","4","29","0","15","6"
"public","kawartha pine ridge dsb","73","3","28","0","8","3"
"public","kawartha pine ridge dsb","72","1","29","1","18","8"
"public","kawartha pine ridge dsb","76","4","29","0","8","2"
"public","kawartha pine ridge dsb","87","0","25","0","10","0"
"public","kawartha pine ridge dsb","88","2","29","2","11","2"
"public","kawartha pine ridge dsb","76","5","19","0","5","3"
"public","kawartha pine ridge dsb","66","3","34","0","8","2"
"public","kawartha pine ridge dsb","68","1","33","0","10","5"
"public","kawartha pine ridge dsb","73","10","40","0","25","10"
"public","kawartha pine ridge dsb","60","0","45","0","20","5"
"public","kawartha pine ridge dsb","69","0","40","0","10","0"
"public","kawartha pine ridge dsb","74","6","32","0","15","3"
"public","keewatin-patricia dsb","62","1","28","0","8","8"
"public","keewatin-patricia dsb","59","2","25","0","8","6"
"public","keewatin-patricia dsb","58","5","25","0","0","20"
"public","keewatin-patricia dsb","29","5","25","0","0","20"
"catholic","kenora cdsb","66","0","20","0","10","5"
"public","lakehead dsb","78","5","19","0","16","8"
"public","lakehead dsb","78","8","20","0","15","5"
"public","lakehead dsb","82","2","24","0","13","7"
"public","lambton kent dsb","20","5","90","0","20","0"
"public","lambton kent dsb","59","0","20","0","10","5"
"public","lambton kent dsb","81","8","20","1","16","8"
"public","lambton kent dsb","69","5","23","1","22","6"
"public","lambton kent dsb","74","6","48","1","19","6"
"public","lambton kent dsb","78","3","19","1","8","2"
"public","lambton kent dsb","78","0","20","0","10","15"
"public","lambton kent dsb","74","2","22","2","9","3"
"public","lambton kent dsb","86","8","21","2","9","2"
"public","lambton kent dsb","67","5","30","0","10","15"
"public","lambton kent dsb","60","45","15","0","10","25"
"public","lambton kent dsb","57","2","35","0","19","13"
"public","limestone dsb","73","11","31","0","8","2"
"public","limestone dsb","74","0","40","0","5","0"
"public","limestone dsb","85","6","27","0","8","2"
"public","limestone dsb","62","0","50","0","20","10"
"public","limestone dsb","66","4","29","0","5","2"
"public","limestone dsb","78","21","34","0","23","6"
"public","limestone dsb","64","2","34","0","16","4"
"public","limestone dsb","67","0","50","0","30","20"
"public","limestone dsb","72","1","34","0","6","2"
"catholic","london district catholic school board","85","28","9","3","24","9"
"catholic","london district catholic school board","67","0","25","0","10","5"
"catholic","london district catholic school board","72","19","17","1","26","15"
"catholic","london district catholic school board","89","22","11","1","16","5"
"catholic","london district catholic school board","77","15","19","0","21","8"
"catholic","london district catholic school board","81","2","20","1","10","6"
"catholic","london district catholic school board","71","3","26","0","9","7"
"catholic","london district catholic school board","89","5","15","1","10","2"
"catholic","london district catholic school board","80","19","13","1","18","3"
"public","near north dsb","69","2","50","0","21","9"
"public","near north dsb","72","5","28","0","15","4"
"public","near north dsb","55","0","40","0","20","0"
"public","near north dsb","53","5","40","0","15","10"
"public","near north dsb","61","1","39","0","15","6"
"public","near north dsb","68","4","31","0","17","4"
"catholic","niagara cdsb","86","4","20","1","8","2"
"catholic","niagara cdsb","76","15","24","1","18","8"
"catholic","niagara cdsb","77","18","18","0","16","6"
"catholic","niagara cdsb","84","6","23","0","17","5"
"catholic","niagara cdsb","83","7","23","0","16","3"
"catholic","niagara cdsb","82","18","16","2","16","5"
"catholic","niagara cdsb","89","24","17","0","17","6"
"catholic","niagara cdsb","75","14","19","0","14","5"
"catholic","nipissing-parry sound cdsb","78","0","32","0","14","5"
"catholic","northeastern cdsb","69","5","20","0","15","5"
"catholic","ottawa csb","92","11","23","0","7","2"
"catholic","ottawa csb","85","20","24","0","8","1"
"catholic","ottawa csb","83","19","25","0","28","9"
"catholic","ottawa csb","71","42","19","0","27","7"
"catholic","ottawa csb","74","35","25","0","35","15"
"catholic","ottawa csb","89","4","25","0","5","0"
"catholic","ottawa csb","86","18","25","0","9","3"
"catholic","ottawa csb","83","4","28","0","5","1"
"catholic","ottawa csb","92","16","24","0","8","3"
"catholic","ottawa csb","81","44","16","0","33","15"
"catholic","ottawa csb","85","20","25","0","20","5"
"catholic","ottawa csb","79","12","22","0","6","1"
"catholic","ottawa csb","76","31","22","0","18","8"
"catholic","ottawa csb","87","27","19","0","14","4"
"catholic","ottawa csb","88","23","21","0","9","2"
"public","ottawa-carleton dsb","86","23","24","0","7","1"
"public","ottawa-carleton dsb","81","52","16","15","19","7"
"public","ottawa-carleton dsb","76","55","23","1","22","9"
"public","ottawa-carleton dsb","85","21","28","1","7","3"
"public","ottawa-carleton dsb","94","15","20","3","14","4"
"public","ottawa-carleton dsb","98","41","8","15","11","1"
"public","ottawa-carleton dsb","94","41","18","1","10","1"
"public","ottawa-carleton dsb","85","19","23","7","14","5"
"public","ottawa-carleton dsb","74","60","21","1","28","10"
"public","ottawa-carleton dsb","74","39","31","1","23","13"
"public","ottawa-carleton dsb","88","31","22","1","8","2"
"public","ottawa-carleton dsb","96","32","14","28","22","2"
"public","ottawa-carleton dsb","89","39","17","0","11","2"
"public","ottawa-carleton dsb","88","28","20","5","11","5"
"public","ottawa-carleton dsb","90","14","26","3","12","2"
"public","ottawa-carleton dsb","82","0","30","0","5","0"
"public","ottawa-carleton dsb","55","65","17","1","34","17"
"public","ottawa-carleton dsb","28","10","95","0","20","5"
"public","ottawa-carleton dsb","89","24","29","1","13","5"
"public","ottawa-carleton dsb","83","29","23","1","7","2"
"public","ottawa-carleton dsb","83","6","24","0","6","0"
"public","ottawa-carleton dsb","85","21","26","1","6","2"
"public","ottawa-carleton dsb","76","48","27","0","26","14"
"public","peel dsb","91","56","15","0","19","6"
"public","peel dsb","69","47","13","0","20","11"
"public","peel dsb","83","51","15","0","14","6"
"public","peel dsb","86","68","10","0","12","14"
"public","peel dsb","87","30","22","0","15","4"
"public","peel dsb","80","55","17","0","16","9"
"public","peel dsb","86","65","11","0","12","8"
"public","peel dsb","86","42","16","0","16","4"
"public","peel dsb","76","53","13","0","13","7"
"public","peel dsb","90","56","20","0","21","5"
"public","peel dsb","81","56","15","0","11","8"
"public","peel dsb","88","73","12","0","27","9"
"public","peel dsb","87","73","10","0","12","8"
"public","peel dsb","72","39","17","4","10","7"
"public","peel dsb","85","24","26","3","6","6"
"public","peel dsb","83","62","18","0","13","4"
"public","peel dsb","93","72","11","0","19","1"
"public","peel dsb","4","20","95","0","15","5"
"public","peel dsb","72","60","25","0","22","19"
"public","peel dsb","90","28","15","6","12","3"
"public","peel dsb","77","71","16","0","10","9"
"public","peel dsb","86","26","14","0","8","5"
